地方频道,#genre#
福建教育频道,rtsp://183.252.165.210/PLTV/88888888/224/3221226776/47876618.smil
厦门新闻频道,rtsp://183.252.165.210/PLTV/88888888/224/3221226798/45744988.smil
宁德新闻频道,rtsp://183.252.165.210/PLTV/88888888/224/3221226768/46971866.smil
龙岩新闻频道,rtsp://183.252.165.210/PLTV/88888888/224/3221226782/45553545.smil
漳州新闻频道,rtsp://183.252.165.210/PLTV/88888888/224/3221226728/45553461.smil
南平新闻频道,rtsp://183.252.165.210/PLTV/88888888/224/3221226772/47387629.smil
泉州新闻频道,rtsp://183.252.165.210/PLTV/88888888/224/3221226810/46680493.smil
三明新闻频道,rtsp://183.252.165.210/PLTV/88888888/224/3221226769/46558552.smil
莆田新闻频道,rtsp://183.252.165.210/PLTV/88888888/224/3221226724/45553236.smil
平潭新闻频道,rtsp://183.252.165.210/PLTV/88888888/224/3221226735/45469664.smil
福州新闻综合,rtsp://183.252.165.210/PLTV/88888888/224/3221226720/45553071.smil
云南都市频道,http://39.130.202.114:6610/gitv_live/G_YNTV-2-HD/G_YNTV-2-HD.m3u8
云南娱乐频道,http://39.130.202.114:6610/gitv_live/G_YNTV-3-HD/G_YNTV-3-HD.m3u8
云南生活资讯,http://39.130.202.114:6610/gitv_live/G_YNTV-4-HD/G_YNTV-4-HD.m3u8
云南影视频道,http://39.130.202.114:6610/gitv_live/G_YNTV-5-HD/G_YNTV-5-HD.m3u8
云南公共频道,http://39.130.202.114:6610/gitv_live/G_YNTV-6-HD/G_YNTV-6-HD.m3u8
云南少儿频道,http://39.130.202.114:6610/gitv_live/G_YNTVSE-HD/G_YNTVSE-HD.m3u8
红河新闻频道,http://39.130.202.114:6610/gitv_live/G_HONGHETV-1/G_HONGHETV-1.m3u8
红河公共频道,http://39.130.202.114:6610/gitv_live/G_HONGHETV-2/G_HONGHETV-2.m3u8
楚雄新闻频道,http://39.130.202.114:6610/gitv_live/G_CHUXIONGXW/G_CHUXIONGXW.m3u8
楚雄公共频道,http://39.130.202.114:6610/gitv_live/G_CHUXIONGGG/G_CHUXIONGGG.m3u8
江苏教育频道,http://223.110.241.137:6610/gitv/live1/G_JSJY/G_JSJY.m3u8
江苏综艺频道,http://223.110.241.137:6610/gitv/live1/G_JSZY/G_JSZY.m3u8
江苏城市频道,http://223.110.241.137:6610/gitv/live1/G_JSCS/G_JSCS.m3u8
江苏影视频道,http://223.110.241.137:6610/gitv/live1/G_JSYS/G_JSYS.m3u8
江苏公共新闻,http://223.110.241.137:6610/gitv/live1/G_JSGG/G_JSGG.m3u8
江苏体育休闲,http://223.110.241.137:6610/gitv/live1/G_JSTY/G_JSTY.m3u8
南京新闻综合,http://223.110.241.137:6610/gitv/live1/G_NJXW/G_NJXW.m3u8
南京娱乐频道,http://223.110.241.150:6610/gitv/live1/G_NJYL/G_NJYL.m3u8
南京信息频道,http://223.110.241.150:6610/gitv/live1/G_NJXX/G_NJXX.m3u8
南京教科频道,http://223.110.241.150:6610/gitv/live1/G_NJJK/G_NJJK.m3u8
南京生活频道,http://223.110.241.150:6610/gitv/live1/G_NJSH/G_NJSH.m3u8
南京少儿频道,http://223.110.241.150:6610/gitv/live1/G_NJSE/G_NJSE.m3u8
南京十八频道,http://223.110.241.150:6610/gitv/live1/G_NJSB/G_NJSB.m3u8
徐州新闻综合,http://223.110.241.137:6610/cntv/live1/xzxwzh/xzxwzh.m3u8
徐州经济生活,http://223.110.241.137:6610/cntv/live1/xzjjsh/xzjjsh.m3u8
徐州文艺影视,http://223.110.241.137:6610/cntv/live1/xzwyys/xzwyys.m3u8
甘肃都市频道,http://39.134.39.37/PLTV/88888888/224/3221226248/index.m3u8
甘肃公共应急,http://39.134.39.37/PLTV/88888888/224/3221226250/index.m3u8
甘肃经济频道,http://39.134.39.37/PLTV/88888888/224/3221226252/index.m3u8
甘肃文化影视,http://39.134.39.37/PLTV/88888888/224/3221226287/index.m3u8
甘肃少儿频道,http://39.134.39.37/PLTV/88888888/224/3221226289/index.m3u8
兰州新闻综合,http://39.134.39.37/PLTV/88888888/224/3221226242/index.m3u8
兰州文旅频道,http://39.134.39.37/PLTV/88888888/224/3221226244/index.m3u8
兰州生活经济,http://39.134.39.37/PLTV/88888888/224/3221226285/index.m3u8
辽宁影视剧,http://39.135.129.163/hwottcdn.ln.chinamobile.com/PLTV/-/224/3221226738/index.m3u8
辽宁都市频道,http://39.135.129.165/hwottcdn.ln.chinamobile.com/PLTV/-/224/3221226760/index.m3u8
辽宁经济频道,http://39.135.129.165/hwottcdn.ln.chinamobile.com/PLTV/-/224/3221226735/index.m3u8
辽宁公共频道,http://39.135.129.167/hwottcdn.ln.chinamobile.com/PLTV/-/224/3221226766/index.m3u8
辽宁体育频道,http://39.135.129.165/hwottcdn.ln.chinamobile.com/PLTV/-/224/3221226764/index.m3u8
辽宁生活频道,http://39.135.129.163/hwottcdn.ln.chinamobile.com/PLTV/-/224/3221226761/index.m3u8
江西都市频道,http://39.134.116.4:18890/PLTV/88888910/224/3221225584/index.m3u8?fmt=ts2hls
江西经济生活,http://39.134.116.4:18890/PLTV/88888910/224/3221225580/index.m3u8?fmt=ts2hls
江西影视旅游,http://39.134.116.4:18890/PLTV/88888910/224/3221225579/index.m3u8?fmt=ts2hls
江西公共农业,http://39.134.116.4:18890/PLTV/88888910/224/3221225578/index.m3u8?fmt=ts2hls
江西少儿频道,http://39.134.116.4:18890/PLTV/88888910/224/3221226194/index.m3u8?fmt=ts2hls
江西新闻频道,http://39.134.116.4:18890/PLTV/88888910/224/3221225615/index.m3u8?fmt=ts2hls
贵州公共频道,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225682/1/index.m3u8?fmt=ts2hls
贵州文艺频道,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225704/1/index.m3u8?fmt=ts2hls
贵州生活频道,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225740/1/index.m3u8?fmt=ts2hls
贵州法制频道,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225662/1/index.m3u8?fmt=ts2hls
贵州少儿频道,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225672/1/index.m3u8?fmt=ts2hls
贵州科教频道,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225741/1/index.m3u8?fmt=ts2hls
贵阳新闻综合,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226037/1/index.m3u8?fmt=ts2hls
贵阳经济生活,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225684/1/index.m3u8?fmt=ts2hls
贵阳法制频道,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225725/1/index.m3u8?fmt=ts2hls
贵阳都市频道,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225705/1/index.m3u8?fmt=ts2hls
毕节新闻综合,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226002/1/index.m3u8?fmt=ts2hls
毕节公共频道,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226021/1/index.m3u8?fmt=ts2hls
安顺新闻综合,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226054/1/index.m3u8?fmt=ts2hls
安顺公共频道,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226034/1/index.m3u8?fmt=ts2hls
六盘水新闻综合,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225772/1/index.m3u8?fmt=ts2hls
六盘水都市生活,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225773/1/index.m3u8?fmt=ts2hls
黔西南综合频道,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225995/1/index.m3u8?fmt=ts2hls
黔西南公共频道,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226003/1/index.m3u8?fmt=ts2hls
黔东南新闻综合,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226033/1/index.m3u8?fmt=ts2hls
陕西新闻资讯,http://111.20.106.10:6610/yinhe/2/ch00000090990000001580/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
陕西都市青春,http://111.20.106.10:6610/yinhe/2/ch00000090990000001593/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
陕西体育休闲,http://111.20.106.10:6610/yinhe/2/ch00000090990000001594/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
陕西生活频道,http://111.20.106.10:6610/yinhe/2/ch00000090990000001729/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
陕西影视频道,http://111.20.106.10:6610/yinhe/2/ch00000090990000001730/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
陕西公共频道,http://111.20.106.10:6610/yinhe/2/ch00000090990000001739/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
西安新闻综合,http://111.20.106.10:6610/yinhe/2/ch00000090990000001720/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
西安都市频道,http://111.20.106.10:6610/yinhe/2/ch00000090990000001595/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
西安商务资讯,http://111.20.106.10:6610/yinhe/2/ch00000090990000001732/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
西安影视频道,http://111.20.106.10:6610/yinhe/2/ch00000090990000001769/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
西安丝路频道,http://111.20.106.10:6610/yinhe/2/ch00000090990000001779/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
宁夏教育频道,http://39.134.93.229:6610/000000001000/nxjiaoyu/1.m3u8?IASHttpSessionId=
宁夏经济频道,http://39.134.93.229:6610/000000001000/nxjingji/1.m3u8?IASHttpSessionId=
宁夏公共频道,http://39.134.93.229:6610/000000001000/nxgonggong/1.m3u8?IASHttpSessionId=
宁夏影视频道,http://39.134.93.229:6610/000000001000/nxyingshi/1.m3u8?IASHttpSessionId=
宁夏少儿频道,http://39.134.93.229:6610/000000001000/nxshaoer/1.m3u8?IASHttpSessionId=
四川新闻频道,http://60.255.49.202/live/SCTV-4H265_4000.m3u8
四川经济频道,http://60.255.49.202/live/SCTV-3-H265_4000.m3u8
四川科教频道,http://60.255.49.202/live/SCTV-ggSCTV-8_4000.m3u8
四川乡村频道,http://60.255.49.202/live/SCTV-kjSCTV-9-_4000.m3u8
四川峨嵋电影,http://60.255.49.202/live/emdygqH265_4000.m3u8
四川文化旅游,http://60.255.49.202/live/SCTV-2-H265_4000.m3u8
四川影视文艺,http://60.255.49.202/live/SCTV-5-scysH265_4000.m3u8
四川妇女儿童,http://60.255.49.202/live/SCTV-7-_4000.m3u8
山西经济科技,http://access.shuliyun.com:13164/playurl?
playtype=live&protocol=hls&accesstoken=GC19726C7V21307D1T6B005F28JD9B307ABM7B62413DICAB7991BK98BDB0&playtoken=ABCDEFGH&programid=4200000059.m3u8
山西影视频道,http://access.shuliyun.com:13164/playurl?playtype=live&protocol=hls&accesstoken=GC19726C7V21307D1T6B005F28JD9B307ABM7B62413DICAB7991BK98BDB0&playtoken=ABCDEFGH&programid=4200000060.m3u8
山西公共频道,http://access.shuliyun.com:13164/playurl?playtype=live&protocol=hls&accesstoken=GC19726C7V21307D1T6B005F28JD9B307ABM7B62413DICAB7991BK98BDB0&playtoken=ABCDEFGH&programid=4200000061.m3u8
山西社会法制,http://access.shuliyun.com:13164/playurl?playtype=live&protocol=hls&accesstoken=GC19726C7V21307D1T6B005F28JD9B307ABM7B62413DICAB7991BK98BDB0&playtoken=ABCDEFGH&programid=4200000062.m3u8
晋城新闻综合,http://access.shuliyun.com:13164/playurl?playtype=live&protocol=hls&accesstoken=GC19726C7V21307D1T6B005F28JD9B307ABM7B62413DICAB7991BK98BDB0&playtoken=ABCDEFGH&programid=4200000192.m3u8
晋城公共频道,http://access.shuliyun.com:13164/playurl?playtype=live&protocol=hls&accesstoken=GC19726C7V21307D1T6B005F28JD9B307ABM7B62413DICAB7991BK98BDB0&playtoken=ABCDEFGH&programid=4200000193.m3u8
 
港台频道,#genre#
凤凰香港,http://ott.js.chinamobile.com/PLTV/3/224/3221228060/index.m3u8
凤凰中文,http://ott.js.chinamobile.com/PLTV/3/224/3221228057/index.m3u8
凤凰资讯,http://ott.js.chinamobile.com/PLTV/3/224/3221228098/index.m3u8
东森电影,https://www.chaojidianshi.net/nzbtv/ldlive.php?id=twdsdy
龙祥电影,https://www.chaojidianshi.net/nzbtv/ldlive.php?id=twlxdy
卫视电影,https://www.chaojidianshi.net/nzbtv/ldlive.php?id=twwsdy
美亚电影,https://www.chaojidianshi.net/nzbtv/ldlive.php?id=twmydy
纬来电影,https://www.chaojidianshi.net/nzbtv/ldlive.php?id=twwldy
天映频道,https://www.chaojidianshi.net/nzbtv/ldlive.php?id=hktypd
壹新闻,https://www.chaojidianshi.net/nzbtv/ldlive.php?id=twyxw
年代新闻,https://www.chaojidianshi.net/nzbtv/ldlive.php?id=twndxw
三立新闻,https://www.chaojidianshi.net/nzbtv/ldlive.php?id=twslxw
非凡新闻,https://www.chaojidianshi.net/nzbtv/ldlive.php?id=twffxw
民视新闻,https://www.chaojidianshi.net/nzbtv/ldlive.php?id=twmsxw
TVBS新闻,https://www.chaojidianshi.net/nzbtv/ldlive.php?id=twtvbsxw
TVBS HD,https://www.chaojidianshi.net/nzbtv/ldlive.php?id=twtvbs
纬来体育,https://www.chaojidianshi.net/nzbtv/ldlive.php?id=twwlty
网络频道,#genre#
精彩-综艺,http://111.20.106.10:6610/yinhe/2/ch00000090990000001273/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
精彩-体育,http://111.20.106.10:6610/yinhe/2/ch00000090990000001274/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
精彩-电视剧,http://111.20.106.10:6610/yinhe/2/ch00000090990000001276/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC-动作电影,http://111.20.106.10:6610/yinhe/2/ch00000090990000002055/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC-高清电影,http://111.20.106.10:6610/yinhe/2/ch00000090990000002065/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC-家庭影院,http://111.20.106.10:6610/yinhe/2/ch00000090990000002085/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
New-动作电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225661/index.m3u8
New-古裝剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225663/index.m3u8
New-惊悚悬疑,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225665/index.m3u8
New-金牌综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225666/index.m3u8
New-军事评论,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225668/index.m3u8
New-爱情喜剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225669/index.m3u8
New-精品大剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225670/index.m3u8
New-怡伴健康,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225673/index.m3u8
New-精品体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225674/index.m3u8
New-軍旅剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225676/index.m3u8
New-家庭剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225677/index.m3u8
New-武博世界,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225680/index.m3u8
New-中国功夫,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225681/index.m3u8
New-农业致富,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225683/index.m3u8
New-潮妈辣婆,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225685/index.m3u8
New-炫舞未来,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225719/index.m3u8
New-东北热剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225741/index.m3u8
New-欢乐剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225742/index.m3u8
 
 
 
New-明星大片,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225664/index.m3u8
New-超級体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225715/index.m3u8
New-超級电视剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225716/index.m3u8
New-超級电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8
New-超級综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225714/index.m3u8
i HOT-爱赛车,http://117.148.179.50/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230032/index.m3u8
i HOT-爱体育,http://117.148.179.50/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230034/index.m3u8
i HOT-爱怀旧,http://117.148.179.50/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230049/index.m3u8
i HOT-爱旅行,http://117.148.179.50/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230052/index.m3u8
i HOT-爱娱乐,http://117.148.179.50/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230077/index.m3u8
i HOT-爱谍战,http://117.148.179.50/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230092/index.m3u8
i HOT-爱猎奇,http://117.148.179.50/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230097/index.m3u8
i HOT-爱体育,http://117.148.179.50/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230103/index.m3u8
i HOT-爱科学,http://117.148.179.50/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230106/index.m3u8
i HOT-爱探索,http://117.148.179.50/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230112/index.m3u8
i HOT-爱家庭,http://117.148.179.50/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230118/index.m3u8
i HOT-爱青春,http://117.148.179.50/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230130/index.m3u8
i HOT-爱奇谈,http://117.148.179.50/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230023/index.m3u8
i HOT-爱悬疑,http://117.148.179.50/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230098/index.m3u8
i HOT-爱经典,http://117.148.179.50/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230101/index.m3u8
i HOT-爱动漫,http://117.148.179.50/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230136/index.m3u8
i HOT-爱美食,http://117.148.179.50/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230115/index.m3u8
i HOT-爱解密,http://117.148.179.50/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230080/index.m3u8
i HOT-爱电竞,http://117.148.179.50/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230029/index.m3u8
i HOT-爱都市,http://117.148.179.50/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230104/index.m3u8
i HOT-爱幼教,http://117.148.179.50/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230086/index.m3u8
i HOT-爱江湖,http://117.148.179.50/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230074/index.m3u8
i HOT-爱玩具,http://117.148.179.50/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230026/index.m3u8
i HOT-爱时尚,http://117.148.179.50/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230109/index.m3u8
i HOT-爱军武,http://117.148.179.50/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230083/index.m3u8
i HOT-爱历史,http://117.148.179.50/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230100/index.m3u8
i HOT-爱世界,http://117.148.179.50/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230046/index.m3u8
福利频道_0328,#genre#
🔞·松視-1,https://flv3948069e.live.126.net/live/sytv_8ca30b716e846bfa3b4ddeb5ce7734c8.flv
🔞·松視-2,https://flv3948069e.live.126.net/live/sytv_56830b3d6e8464f8479dde69be773622.flv
🔞·松視-3,https://flv3948069e.live.126.net/live/sytv_ca330b8dfe8461e4b3bdde39ce773e83.flv
🔞·松視-4,https://flv3948069e.live.126.net/live/sytv_02630be6be846d47da6dde603e773bc3.flv
🔞·潘朵拉玩美,https://flv3948069e.live.126.net/live/sytv_30630b464e846ca2cb9ddefe0e773e87.flv
 
🔞·驚艷台,p5p://0198.02686.cc:16871/60d53ded0009cddef2aced586355082e.ts
🔞·松視-1,p5p://0198.02686.cc:16871/60d53d8e00057359f2ab7923682f1b04.ts
🔞·松視-2,p5p://0198.02686.cc:16871/60d53dc70008faa7f2ac58b29604771a.ts
🔞·彩虹-E,p5p://0198.02686.cc:16871/60d53d5a000f345ff2aab082b6067f98.ts
🔞·彩虹電影,p5p://0198.02686.cc:16871/60d53d16000eff77f2a9a6d4e162209c.ts
🔞·極限電影,p5p://0198.02686.cc:16871/60d53e1000085590f2ad75b087c6e78e.ts
🔞·潘朵拉玩美,p5p://0198.02686.cc:16871/60d53e4100021553f2ae337ec15497c2.ts
 
🔞·驚艷台,p5p://crfccs.kingh888.com:16666/60ab27790005917d0e61e8453f868fd2 
🔞·香蕉台,p5p://crfccs.kingh888.com:16666/60ab2769000e40550e61abfe014de5b1 
🔞·松視-2,p5p://crfccs.kingh888.com:16666/60ab2759000359320e616ab455299cce 
🔞·彩虹-E,p5p://crfccs.kingh888.com:16666/60ab271b0008823b0e6079d6366a0d7e 
🔞·彩虹電影,p5p://crfccs.kingh888.com:16666/60ab2705000438470e6022cd64274913
🔞·極限電影,p5p://crfccs.kingh888.com:16666/60ab2789000ebe270e62291ec8b20e2d
🔞·潘朵拉玩美,p5p://crfccs.kingh888.com:16666/60ab279b0002b9f90e626c5b4a6b3931 
 
 
🔞·K,p5p://45.92.126.18:9906/60e5c69c0007bf360cfd3979da394ad7
🔞·HOT,p5p://45.92.126.18:9906/60e5c5940008bfb40cf9327b7a38210e
🔞·LOOK,p5p://45.92.126.18:9906/60ed753e0003e9cf1108a73c5ad48fc9
🔞·HAPPY,p5p://45.92.126.18:9906/60e5c5bb0000e84a0cf9c8d164f11b3b
🔞·驚艷台,p5p://45.92.126.18:9906/60fd2dbc0002e8d300ed4537251ee06d
🔞·香蕉台,p5p://45.92.126.18:9906/60fd2ddd000096c200edc58716da3240
🔞·松視-1,p5p://45.92.126.18:9906/60e5c60e000509400cfb0e18dd7b20e2
🔞·松視-2,p5p://45.92.126.18:9906/60e5c644000b70ee0cfbe2ab20648a6b
🔞·松視-3,p5p://45.92.126.18:9906/60e5c670000a55dc0cfc8e43fe53445e
🔞·彩虹-E,p5p://45.92.126.18:9906/60e5c5e4000b60ac0cfa6ba7ff5ef206
🔞·潘朵拉玩美,p5p://45.92.126.18:9906/60e5c6c10007bff20cfdca01da007296
🔞·潘朵拉粉红,p5p://45.92.126.18:9906/60fd2d970005922100ecb55d2f333764
 
 
 
 
AV-01,p5p://crfccs.kingh888.com:16666/60ab70b60001c9880f7ffd95bace24f3 
AV-02,p5p://crfccs.kingh888.com:16666/60ab70a40002d72f0f7fb78aefd6892e 
AV-03,p5p://crfccs.kingh888.com:16666/60ab7092000628430f7f721440747700 
AV-04,p5p://crfccs.kingh888.com:16666/60ab70820006339d0f7f3396eb1d08dd 
AV-05,p5p://crfccs.kingh888.com:16666/60ab7074000469010f7efc7173919dd8 
AV-06,p5p://crfccs.kingh888.com:16666/60ab7064000574aa0f7ebe36edd56f5d 
AV-07,p5p://crfccs.kingh888.com:16666/60ab7047000494df0f7e4cb4bbaee6ba 
AV-08,p5p://crfccs.kingh888.com:16666/60ab7034000aaf730f7e040c1a43198e 
