央视频道,#genre#
湖南卫视 HD,http://221.179.217.9/PLTV/88888888/224/3221226509/1.m3u8
浙江卫视 HD,http://221.179.217.9/PLTV/88888888/224/3221226365/1.m3u8
东方卫视 HD,http://221.179.217.9/PLTV/88888888/224/3221226364/1.m3u8
江苏卫视 HD,http://221.179.217.9/PLTV/88888888/224/3221226366/1.m3u8
地方频道,#genre#
湖南教育台,http://520574.xyz/dl/yfy.php?id=43021
湖南电视剧,http://520574.xyz/dl/yfy.php?id=43030
湖南经视频道,http://520574.xyz/dl/yfy.php?id=43024
湖南都市频道,http://520574.xyz/dl/yfy.php?id=43028
湖南娱乐频道,http://520574.xyz/dl/yfy.php?id=43027
湖南公共频道,http://520574.xyz/dl/yfy.php?id=43031
金鹰纪实频道,http://112.50.243.8/PLTV/88888888/224/3221226937/1.m3u8
金鹰卡通频道,http://112.50.243.8/PLTV/88888888/224/3221227018/1.m3u8
快乐购物频道,http://112.50.243.8/PLTV/88888888/224/3221226855/1.m3u8
快乐垂钓频道,http://112.50.243.8/PLTV/88888888/224/3221226940/1.m3u8
湘西新闻综合,http://36514.hlsplay.aodianyun.com/tv_radio_36514/tv_channel_1382.m3u8
湘西公共频道,http://36514.hlsplay.aodianyun.com/tv_radio_36514/tv_channel_1381.m3u8
娄底综合频道,http://mms.ldntv.cn:1935/live/zonghe/playlist.m3u8
张家界新闻综合,http://stream.zjjrtv.com/zjjtv1/playlist.m3u8
张家界公共频道,http://stream.zjjrtv.com/zjjtv2/playlist.m3u8
临武新闻综合,http://play-dgv-xhncloud.voc.com.cn/live/5243_h2jJ9H.m3u8
浙江钱江频道,http://hw-m-l.cztv.com/channels/lantian/channel02/1080p.m3u8
浙江经济生活,http://hw-m-l.cztv.com/channels/lantian/channel03/1080p.m3u8
浙江教育科技,http://hw-m-l.cztv.com/channels/lantian/channel04/1080p.m3u8
浙江影视娱乐,http://hw-m-l.cztv.com/channels/lantian/channel05/1080p.m3u8
浙江民生休闲,http://hw-m-l.cztv.com/channels/lantian/channel06/1080p.m3u8
浙江公共新闻,http://hw-m-l.cztv.com/channels/lantian/channel07/1080p.m3u8
浙江少儿频道,http://hw-m-l.cztv.com/channels/lantian/channel08/1080p.m3u8
浙江留学世界,http://hw-m-l.cztv.com/channels/lantian/channel09/1080p.m3u8
浙江国际频道,http://hw-m-l.cztv.com/channels/lantian/channel10/1080p.m3u8
浙江数码时代,http://hw-m-l.cztv.com/channels/lantian/channel12/1080p.m3u8
杭州综合频道,http://112.17.40.12/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230497/index.m3u8
杭州明珠频道,http://112.17.40.12/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230466/index.m3u8
杭州生活频道,http://112.17.40.12/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230472/index.m3u8
杭州影视频道,http://112.17.40.12/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230500/index.m3u8
杭州青少体育,http://112.17.40.12/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230463/index.m3u8
舟山新闻综合,http://112.17.40.12/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230335/index.m3u8
舟山公共生活,http://112.17.40.12/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230338/index.m3u8
舟山群岛旅游,http://112.17.40.12/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230340/index.m3u8
柯桥新闻综合,http://live.scbtv.cn/hls/news/index.m3u8
柯桥时尚频道,http://live.scbtv.cn/hls/qfc/index.m3u8
奉化新闻综合,http://stream.fhtv.net.cn/zhpd/sd/live.m3u8
奉化生活娱乐,http://stream.fhtv.net.cn/ylpd/sd/live.m3u8
景宁新闻综合,http://pili-live-hls.jnbctv.com/jnlive/tv81-1537153703.m3u8
景宁文化旅游,http://pili-live-hls.jnbctv.com/jnlive/tv81-1537429639.m3u8
金华新闻综合,http://stream2.jinhua.com.cn/xwzh/app/live.m3u8
上海新视觉,http://183.207.255.188/live/program/live/xsjhd/4000000/mnf.m3u8
上海全纪实,http://39.135.248.150/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226180/3.m3u8
上海全纪实,http://183.207.255.188/live/program/live/qjshd/4000000/mnf.m3u8
上海ICS外语,http://39.135.248.150/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226136/3.m3u8
上海ICS外语,http://183.207.255.188/live/program/live/wypdhd/4000000/mnf.m3u8
上海新闻综合,http://39.135.248.150/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226135/3.m3u8
上海新闻综合,http://183.207.255.188/live/program/live/xwzhhd/4000000/mnf.m3u8
上海东方影视,http://39.135.248.150/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221225970/3.m3u8
上海东方影视,http://183.207.255.188/live/program/live/dsjpdhd/4000000/mnf.m3u8
上海五星体育,http://39.135.248.150/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221225964/3.m3u8
上海五星体育,http://183.207.255.188/live/program/live/ssty/4000000/mnf.m3u8
上海哈哈炫动,http://39.135.248.150/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226139/3.m3u8
上海哈哈炫动,http://183.207.255.188/live/program/live/hhxdhd/4000000/mnf.m3u8
上海都市频道,http://39.135.248.150/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226141/3.m3u8
上海都市频道,http://183.207.255.188/live/program/live/ylpdhd/4000000/mnf.m3u8
上海第一财经,http://39.135.248.150/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226138/3.m3u8
上海第一财经,http://183.207.255.188/live/program/live/dycjhd/4000000/mnf.m3u8
上海纪实人文,http://39.135.248.150/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226137/3.m3u8
上海纪实人文,http://183.207.255.188/live/program/live/jspdhd/4000000/mnf.m3u8
上海劲爆体育,http://183.207.255.188/live/program/live/jbtyhd/4000000/mnf.m3u8
上海生活时尚,http://39.135.248.150/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226140/3.m3u8
上海生活时尚,http://183.207.255.188/live/program/live/shsshd/4000000/mnf.m3u8
江苏教育频道,http://223.110.247.161:6610/gitv/live1/G_JSJY/G_JSJY.m3u8
江苏综艺频道,http://223.110.247.161:6610/gitv/live1/G_JSZY/G_JSZY.m3u8
江苏城市频道,http://223.110.247.161:6610/gitv/live1/G_JSCS/G_JSCS.m3u8
江苏影视频道,http://223.110.247.161:6610/gitv/live1/G_JSYS/G_JSYS.m3u8
江苏公共新闻,http://223.110.247.161:6610/gitv/live1/G_JSGG/G_JSGG.m3u8
江苏体育休闲,http://223.110.247.161:6610/gitv/live1/G_JSTY/G_JSTY.m3u8
徐州新闻综合,http://223.110.247.161:6610/cntv/live1/xzxwzh/xzxwzh.m3u8
徐州经济生活,http://223.110.247.161:6610/cntv/live1/xzjjsh/xzjjsh.m3u8
徐州文艺影视,http://223.110.247.161:6610/cntv/live1/xzwyys/xzwyys.m3u8
睢宁综合频道,http://223.110.245.150/ott.js.chinamobile.com/PLTV/3/224/3221227706/index.m3u8
睢宁资讯频道,http://223.110.243.154/ott.js.chinamobile.com/PLTV/3/224/3221227712/index.m3u8
睢宁三农频道,http://223.110.243.162/ott.js.chinamobile.com/PLTV/3/224/3221227709/index.m3u8
睢宁生活教育,http://223.110.243.151/ott.js.chinamobile.com/PLTV/3/224/3221227701/index.m3u8
沛县新闻综合,http://223.110.245.150/ott.js.chinamobile.com/PLTV/3/224/3221227678/index.m3u8
沛县经济生活,http://223.110.245.160/ott.js.chinamobile.com/PLTV/3/224/3221227611/index.m3u8
沛县文艺影视,http://223.110.245.167/ott.js.chinamobile.com/PLTV/3/224/3221227681/index.m3u8
邳州综合频道,http://223.110.243.154/ott.js.chinamobile.com/PLTV/3/224/3221227576/index.m3u8
邳州综艺频道,http://223.110.243.170/ott.js.chinamobile.com/PLTV/3/224/3221227573/index.m3u8
邳州综艺频道,http://stream.pznews.com/pztv1/sd/live.m3u8
邳州综合频道,http://stream.pznews.com/pztv2/sd/live.m3u8
靖江新闻综合,http://visit.jjbctv.com:1935/live/xwzhpc/playlist.m3u8
吴江新闻综合,http://30515.hlsplay.aodianyun.com/lms_30515/tv_channel_239.m3u8
安徽经济生活,http://kid.hfcatv.com.cn:13164/playurl?playtype=live&protocol=hls&accesstoken=R5F15C63AU30947030K77359BACI93B1EF78P8M2FAF228V0Z53085W162382CFCB4DC7EC&playtoken=31667LZMVCGFXDL10&programid=4200000032.m3u8
安徽公共频道,http://kid.hfcatv.com.cn:13164/playurl?playtype=live&protocol=hls&accesstoken=R5F15C63AU30947030K77359BACI93B1EF78P8M2FAF228V0Z53085W162382CFCB4DC7EC&playtoken=31667LZMVCGFXDL10&programid=4200000033.m3u8
安徽影视频道,http://kid.hfcatv.com.cn:13164/playurl?playtype=live&protocol=hls&accesstoken=R5F15C63AU30947030K77359BACI93B1EF78P8M2FAF228V0Z53085W162382CFCB4DC7EC&playtoken=31667LZMVCGFXDL10&programid=4200000034.m3u8
安徽综艺频道,http://kid.hfcatv.com.cn:13164/playurl?playtype=live&protocol=hls&accesstoken=R5F15C63AU30947030K77359BACI93B1EF78P8M2FAF228V0Z53085W162382CFCB4DC7EC&playtoken=31667LZMVCGFXDL10&programid=4200000035.m3u8
安徽科教频道,http://kid.hfcatv.com.cn:13164/playurl?playtype=live&protocol=hls&accesstoken=R5F15C63AU30947030K77359BACI93B1EF78P8M2FAF228V0Z53085W162382CFCB4DC7EC&playtoken=31667LZMVCGFXDL10&programid=4200000036.m3u8
合肥新闻频道,http://kid.hfcatv.com.cn:13164/playurl?playtype=live&protocol=hls&accesstoken=R5F15C63AU30947030K77359BACI93B1EF78P8M2FAF228V0Z53085W162382CFCB4DC7EC&playtoken=31667LZMVCGFXDL10&programid=4200000185.m3u8
合肥生活频道,http://kid.hfcatv.com.cn:13164/playurl?playtype=live&protocol=hls&accesstoken=R5F15C63AU30947030K77359BACI93B1EF78P8M2FAF228V0Z53085W162382CFCB4DC7EC&playtoken=31667LZMVCGFXDL10&programid=4200000188.m3u8
合肥财经频道,http://kid.hfcatv.com.cn:13164/playurl?playtype=live&protocol=hls&accesstoken=R5F15C63AU30947030K77359BACI93B1EF78P8M2FAF228V0Z53085W162382CFCB4DC7EC&playtoken=31667LZMVCGFXDL10&programid=4200000190.m3u8
合肥教育法制,http://kid.hfcatv.com.cn:13164/playurl?playtype=live&protocol=hls&accesstoken=R5F15C63AU30947030K77359BACI93B1EF78P8M2FAF228V0Z53085W162382CFCB4DC7EC&playtoken=31667LZMVCGFXDL10&programid=4200000189.m3u8
合肥故事休闲,http://kid.hfcatv.com.cn:13164/playurl?playtype=live&protocol=hls&accesstoken=R5F15C63AU30947030K77359BACI93B1EF78P8M2FAF228V0Z53085W162382CFCB4DC7EC&playtoken=31667LZMVCGFXDL10&programid=4200000191.m3u8
合肥影院频道,http://kid.hfcatv.com.cn:13164/playurl?playtype=live&protocol=hls&accesstoken=R5F15C63AU30947030K77359BACI93B1EF78P8M2FAF228V0Z53085W162382CFCB4DC7EC&playtoken=31667LZMVCGFXDL10&programid=4200000022.m3u8
合肥文体博览,http://kid.hfcatv.com.cn:13164/playurl?playtype=live&protocol=hls&accesstoken=R5F15C63AU30947030K77359BACI93B1EF78P8M2FAF228V0Z53085W162382CFCB4DC7EC&playtoken=31667LZMVCGFXDL10&programid=4200000027.m3u8
濉溪新闻综合,http://hwzbout.yunshicloud.com/m87oxo/251011.m3u8
濉溪公共频道,http://hwzbout.yunshicloud.com/m87oxo/h7j86z.m3u8
淮北新闻综合,http://live.0561rtv.cn/xwzh/playlist.m3u8
淮北公共频道,http://live.0561rtv.cn/ggpd/playlist.m3u8
淮北教育频道,http://live.0561rtv.cn/jypd/playlist.m3u8
六安新闻综合,http://live.china-latv.com/channel1/sd/live.m3u8
六安公共频道,http://live.china-latv.com/channel2/sd/live.m3u8
铜陵新闻综合,http://dstpush1.retalltech.com/app/stream1.m3u8
铜陵公共频道,http://dstpush1.retalltech.com/app/stream2.m3u8
铜陵科教频道,http://dstpush1.retalltech.com/app/stream3.m3u8
北京新闻频道,http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226437/1.m3u8
北京影视频道,http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226486/1.m3u8
北京文艺频道,http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226440/1.m3u8
北京卡酷少儿,http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226558/1.m3u8
北京冬奥纪实,http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226438/1.m3u8
北京科教频道,http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226434/1.m3u8
北京生活频道,http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226514/1.m3u8
北京财经频道,http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226516/1.m3u8
北京青年频道,http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226513/1.m3u8
宁夏教育频道,http://httpdvb.slave.nx96200.cn:13164/playurl?playtype=live&protocol=hls&accesstoken=R5E527FBEU319AC163K7768D0EEI59A8C401PBM321BC1AV0Z9C465W15F60B7EBB17EFE8&playtoken=ABCDEFGH&programid=4200900218.m3u8
宁夏公共频道,http://httpdvb.slave.nx96200.cn:13164/playurl?playtype=live&protocol=hls&accesstoken=R5E527FBEU319AC163K7768D0EEI59A8C401PBM321BC1AV0Z9C465W15F60B7EBB17EFE8&playtoken=ABCDEFGH&programid=4200900016.m3u8
宁夏经济频道,http://httpdvb.slave.nx96200.cn:13164/playurl?playtype=live&protocol=hls&accesstoken=R5E527FBEU319AC163K7768D0EEI59A8C401PBM321BC1AV0Z9C465W15F60B7EBB17EFE8&playtoken=ABCDEFGH&programid=4200900018.m3u8
宁夏影视频道,http://httpdvb.slave.nx96200.cn:13164/playurl?playtype=live&protocol=hls&accesstoken=R5E527FBEU319AC163K7768D0EEI59A8C401PBM321BC1AV0Z9C465W15F60B7EBB17EFE8&playtoken=ABCDEFGH&programid=4200900019.m3u8
宁夏少儿频道,http://httpdvb.slave.nx96200.cn:13164/playurl?playtype=live&protocol=hls&accesstoken=R5E527FBEU319AC163K7768D0EEI59A8C401PBM321BC1AV0Z9C465W15F60B7EBB17EFE8&playtoken=ABCDEFGH&programid=4200900020.m3u8
辽宁影视剧,http://httpdvb.slave.ttcatv.tv:13164/playurl?playtype=live&protocol=hls&accesstoken=R5ED9E2F7U309C3110K7781F2B0I8492CA2APBM32051F8V1020DZ33519WE791F31D071&playtoken=ABCDEFGHIGK&programid=4200000027.m3u8
辽宁都市频道,http://httpdvb.slave.ttcatv.tv:13164/playurl?playtype=live&protocol=hls&accesstoken=R5ED9E2F7U309C3110K7781F2B0I8492CA2APBM32051F8V1020DZ33519WE791F31D071&playtoken=ABCDEFGHIGK&programid=4200000026.m3u8
辽宁公共频道,http://hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226766/index.m3u8
辽宁体育频道,http://httpdvb.slave.ttcatv.tv:13164/playurl?playtype=live&protocol=hls&accesstoken=R5ED9E2F7U309C3110K7781F2B0I8492CA2APBM32051F8V1020DZ33519WE791F31D071&playtoken=ABCDEFGHIGK&programid=4200000028.m3u8
辽宁北方频道,http://httpdvb.slave.ttcatv.tv:13164/playurl?playtype=live&protocol=hls&accesstoken=R5ED9E2F7U309C3110K7781F2B0I8492CA2APBM32051F8V1020DZ33519WE791F31D071&playtoken=ABCDEFGHIGK&programid=4200000030.m3u8
辽宁经济频道,http://httpdvb.slave.ttcatv.tv:13164/playurl?playtype=live&protocol=hls&accesstoken=R5ED9E2F7U309C3110K7781F2B0I8492CA2APBM32051F8V1020DZ33519WE791F31D071&playtoken=ABCDEFGHIGK&programid=4200000188.m3u8
辽宁生活频道,http://httpdvb.slave.ttcatv.tv:13164/playurl?playtype=live&protocol=hls&accesstoken=R5ED9E2F7U309C3110K7781F2B0I8492CA2APBM32051F8V1020DZ33519WE791F31D071&playtoken=ABCDEFGHIGK&programid=4200000190.m3u8
辽宁宜佳购物,http://httpdvb.slave.ttcatv.tv:13164/playurl?playtype=live&protocol=hls&accesstoken=R5ED9E2F7U309C3110K7781F2B0I8492CA2APBM32051F8V1020DZ33519WE791F31D071&playtoken=ABCDEFGHIGK&programid=4200000029.m3u8
辽宁教育青少,http://httpdvb.slave.ttcatv.tv:13164/playurl?playtype=live&protocol=hls&accesstoken=R5ED9E2F7U309C3110K7781F2B0I8492CA2APBM32051F8V1020DZ33519WE791F31D071&playtoken=ABCDEFGHIGK&programid=4200000191.m3u8
大连新闻综合,http://httpdvb.slave.ttcatv.tv:13164/playurl?playtype=live&protocol=hls&accesstoken=R5ED9E2F7U309C3110K7781F2B0I8492CA2APBM32051F8V1020DZ33519WE791F31D071&playtoken=ABCDEFGHIGK&programid=4200000132.m3u8
大连乐天购物,http://httpdvb.slave.ttcatv.tv:13164/playurl?playtype=live&protocol=hls&accesstoken=R5ED9E2F7U309C3110K7781F2B0I8492CA2APBM32051F8V1020DZ33519WE791F31D071&playtoken=ABCDEFGHIGK&programid=4200000235.m3u8
大连生活频道,http://httpdvb.slave.ttcatv.tv:13164/playurl?playtype=live&protocol=hls&accesstoken=R5ED9E2F7U309C3110K7781F2B0I8492CA2APBM32051F8V1020DZ33519WE791F31D071&playtoken=ABCDEFGHIGK&programid=4200000002.m3u8
大连公共频道,http://httpdvb.slave.ttcatv.tv:13164/playurl?playtype=live&protocol=hls&accesstoken=R5ED9E2F7U309C3110K7781F2B0I8492CA2APBM32051F8V1020DZ33519WE791F31D071&playtoken=ABCDEFGHIGK&programid=4200000003.m3u8
大连文体频道,http://httpdvb.slave.ttcatv.tv:13164/playurl?playtype=live&protocol=hls&accesstoken=R5ED9E2F7U309C3110K7781F2B0I8492CA2APBM32051F8V1020DZ33519WE791F31D071&playtoken=ABCDEFGHIGK&programid=4200000004.m3u8
大连综合影视,http://httpdvb.slave.ttcatv.tv:13164/playurl?playtype=live&protocol=hls&accesstoken=R5ED9E2F7U309C3110K7781F2B0I8492CA2APBM32051F8V1020DZ33519WE791F31D071&playtoken=ABCDEFGHIGK&programid=4200000005.m3u8
大连少儿频道,http://httpdvb.slave.ttcatv.tv:13164/playurl?playtype=live&protocol=hls&accesstoken=R5ED9E2F7U309C3110K7781F2B0I8492CA2APBM32051F8V1020DZ33519WE791F31D071&playtoken=ABCDEFGHIGK&programid=4200000006.m3u8
大连财经频道,http://httpdvb.slave.ttcatv.tv:13164/playurl?playtype=live&protocol=hls&accesstoken=R5ED9E2F7U309C3110K7781F2B0I8492CA2APBM32051F8V1020DZ33519WE791F31D071&playtoken=ABCDEFGHIGK&programid=4200000007.m3u8
江西都市频道,http://39.134.116.4:18890/PLTV/88888910/224/3221225584/index.m3u8?fmt=ts2hls
江西经济生活,http://39.134.116.4:18890/PLTV/88888910/224/3221225580/index.m3u8?fmt=ts2hls
江西影视旅游,http://39.134.116.4:18890/PLTV/88888910/224/3221225579/index.m3u8?fmt=ts2hls
江西公共农业,http://39.134.116.4:18890/PLTV/88888910/224/3221225578/index.m3u8?fmt=ts2hls
江西少儿频道,http://39.134.116.4:18890/PLTV/88888910/224/3221226194/index.m3u8?fmt=ts2hls
江西新闻频道,http://39.134.116.4:18890/PLTV/88888910/224/3221225615/index.m3u8?fmt=ts2hls
上饶新闻综合,http://39.134.116.4:18890/PLTV/88888888/224/3221225914/index.m3u8
上饶公共频道,http://39.134.116.4:18890/PLTV/88888888/224/3221225915/index.m3u8
九江新闻综合,http://39.134.116.4:18890/PLTV/88888888/224/3221225774/index.m3u8
九江公共频道,http://39.134.116.4:18890/PLTV/88888888/224/3221225775/index.m3u8
永修新闻综合,http://39.134.116.4:18890/PLTV/88888888/224/3221225662/index.m3u8
永修公共频道,http://39.134.116.4:18890/PLTV/88888888/224/3221225663/index.m3u8
甘肃都市频道,http://39.134.39.37/PLTV/88888888/224/3221226248/index.m3u8
甘肃公共应急,http://39.134.39.37/PLTV/88888888/224/3221226250/index.m3u8
甘肃经济频道,http://39.134.39.37/PLTV/88888888/224/3221226252/index.m3u8
甘肃文化影视,http://39.134.39.37/PLTV/88888888/224/3221226287/index.m3u8
甘肃少儿频道,http://39.134.39.37/PLTV/88888888/224/3221226289/index.m3u8
兰州新闻综合,http://39.134.39.37/PLTV/88888888/224/3221226242/index.m3u8
兰州公共频道,http://39.134.39.37/PLTV/88888888/224/3221226244/index.m3u8
兰州综艺体育,http://39.134.39.37/PLTV/88888888/224/3221226246/index.m3u8
兰州生活经济,http://39.134.39.37/PLTV/88888888/224/3221226285/index.m3u8
甘肃公共应急,http://39.134.39.39/270000001322/69900158041111100000002162/index.m3u8
甘肃少儿频道,http://39.134.39.39/270000001322/69900158041111100000002165/index.m3u8
甘肃文化影视,http://39.134.39.39/270000001322/69900158041111100000002161/index.m3u8
甘肃经济频道,http://39.134.39.39/270000001322/69900158041111100000002164/index.m3u8
甘肃都市频道,http://39.134.39.39/270000001322/69900158041111100000002163/index.m3u8
